id,loaded_distance,appt_date,appt_time,client_id,driver_id,origin_lat,origin_lng,destination_lat,destination_lng,program_name
505977,25.1 mi,2021-10-11,13:00,5988,495,43.38,-72.34,43.62,-72.31,ONE
505978,26.2 mi,2021-10-11,15:00,5988,495,43.62,-72.31,43.38,-72.34,ONE
505979,21.5 mi,2021-10-11,08:45,12046,494,42.98,-71.45,43.02,-71.76,ONE
505980,8.4 mi,2021-10-11,11:00,15793,107,42.85,-71.22,42.85,-71.33,ONE
505981,1.9 mi,2021-10-11,11:45,9651,767,37.74,-120.94,37.73,-120.96,VOGO
505982,1.9 mi,2021-10-11,17:00,9651,611,37.73,-120.96,37.74,-120.94,VOGO
505983,8.4 mi,2021-10-08,14:15,5256,59,43.99,-75.94,43.96,-76.09,SRVC
505984,19.7 mi,2021-10-08,11:45,381,493,43.88,-75.18,43.8,-75.5,LEWIS
505985,1.1 mi,2021-10-08,13:15,9793,820,44.94,-74.88,44.93,-74.89,""
505986,10.4 mi,2021-10-08,12:30,14029,727,43.32,-76.58,43.31,-76.39,""
505987,18.0 mi,2021-10-08,14:00,14774,120,43.99,-75.62,43.97,-75.91,OTP
505988,16.1 mi,2021-10-08,09:30,8429,262,43.5,-75.57,43.62,-75.37,LOTP
505989,8.2 mi,2021-10-08,12:30,5935,14,43.97,-75.92,44.05,-75.83,FIDLS
505990,13.1 mi,2021-10-08,13:30,15794,978,43.05,-75.9,43.08,-75.65,""
505991,32.9 mi,2021-10-08,15:00,15729,23,42.97,-76.54,43.35,-76.51,""
505992,17.3 mi,2021-10-08,13:30,438,31,43.97,-75.62,43.94,-75.93,MCD
505993,81.8 mi,2021-10-08,14:00,15788,196,44.93,-74.91,44.69,-73.5,STLMCD
505994,25.6 mi,2021-10-08,14:00,15789,307,43.46,-75.46,43.79,-75.5,LMCD
505995,53.0 mi,2021-10-08,08:00,2340,307,43.72,-75.4,43.07,-75.29,LMCD
505996,52.4 mi,2021-10-08,09:00,2340,307,43.07,-75.29,43.72,-75.4,LMCD
505997,7.8 mi,2021-10-08,14:00,14503,65,43.75,-75.37,43.79,-75.5,TLS
505998,25.6 mi,2021-10-08,14:45,15789,307,43.79,-75.5,43.46,-75.46,LMCD
505999,2.5 mi,2021-10-08,10:30,14568,887,43.35,-76.43,43.32,-76.42,""
506000,16.0 mi,2021-10-08,08:15,7878,31,43.98,-75.92,43.98,-75.62,MCD
506001,8.1 mi,2021-10-08,13:30,5935,14,44.05,-75.83,43.97,-75.92,FIDLS
506002,16.1 mi,2021-10-08,10:30,8429,262,43.62,-75.37,43.5,-75.57,LOTP
506003,7.8 mi,2021-10-08,15:00,14503,65,43.79,-75.5,43.75,-75.37,TLS
506004,81.9 mi,2021-10-08,15:00,15788,196,44.69,-73.5,44.93,-74.91,STLMCD
506005,17.3 mi,2021-10-08,14:30,438,31,43.94,-75.93,43.97,-75.62,MCD
506006,0.1 mi,2021-10-08,15:00,15795,14,43.99,-75.59,43.99,-75.59,""
506007,58.3 mi,2021-10-08,13:30,13824,533,43.98,-75.92,44.7,-75.49,CREDO
506008,10.4 mi,2021-10-08,13:30,14029,727,43.31,-76.39,43.32,-76.58,""
506009,334 mi,2021-10-08,14:00,4919,71,44.02,-75.84,42.36,-71.18,STP
506010,333 mi,2021-10-08,15:00,4919,71,42.36,-71.18,44.02,-75.84,STP
506011,13.2 mi,2021-10-08,15:00,15794,978,43.08,-75.65,43.05,-75.9,""
506012,2.1 mi,2021-10-08,13:30,15796,31,43.99,-75.59,43.97,-75.62,""
506013,19.0 mi,2021-10-08,14:30,15301,198,44.68,-74.98,44.86,-75.2,STLAW
506014,17.4 mi,2021-10-08,CALL,14774,630,43.97,-75.91,43.99,-75.62,OTP
506015,88.0 mi,2021-10-09,09:00,6508,489,43.96,-75.62,43.01,-76.16,SRVC
506016,88.0 mi,2021-10-09,09:00,7283,489,43.96,-75.62,43.01,-76.16,SRVC
506017,68.7 mi,2021-10-09,09:00,12562,489,43.85,-76.18,43.01,-76.16,SRVC
506018,68.7 mi,2021-10-09,09:00,12563,489,43.85,-76.18,43.01,-76.16,SRVC
506019,30.1 mi,2021-10-09,14:00,15597,816,44.55,-74.96,44.93,-74.89,""
506020,3.2 mi,2021-10-09,11:15,15314,564,44.94,-74.88,44.95,-74.84,""
506021,38.9 mi,2021-10-09,10:00,15581,613,44.33,-75.46,43.98,-75.92,""
506022,38.9 mi,2021-10-09,10:00,15582,613,44.33,-75.46,43.98,-75.92,""
506023,8.2 mi,2021-10-09,16:00,12195,988,44.5,-75.28,44.59,-75.18,""
506024,27.7 mi,2021-10-09,14:00,14232,59,44.64,-75.08,44.93,-74.89,""
506025,329 mi,2021-10-09,10:00,11891,988,44.68,-74.83,42.36,-71.16,""
506026,1.0 mi,2021-10-09,14:00,12047,988,44.69,-75.49,44.7,-75.48,""
506027,53.7 mi,2021-10-09,10:00,12068,23,43.35,-76.51,43.81,-76.02,""
506028,53.9 mi,2021-10-09,12:00,12068,23,43.81,-76.02,43.35,-76.51,""
506029,40.4 mi,2021-10-09,18:00,12088,157,44.47,-75.23,44.92,-74.91,""
506030,40.4 mi,2021-10-09,18:00,12087,157,44.47,-75.23,44.92,-74.91,""
506031,40.4 mi,2021-10-09,18:00,12933,157,44.47,-75.23,44.92,-74.91,""
506032,40.4 mi,2021-10-09,18:00,14721,157,44.47,-75.23,44.92,-74.91,""
506033,16.8 mi,2021-10-09,09:15,205,59,44.14,-76.06,43.95,-75.91,STP
506034,19.6 mi,2021-10-09,10:00,15407,14,44.08,-76.2,43.95,-75.91,STP
