id,loaded_distance,appt_date,appt_time,client_id,driver_id,origin_lat,origin_lng,destination_lat,destination_lng,program_name
502005,147 mi,2021-10-01,15:15,14622,55,43.04,-76.11,44.86,-75.22,""
502006,12.8 mi,2021-10-01,17:00,14143,246,44.55,-74.96,44.59,-75.18,""
502007,57.6 mi,2021-10-01,13:30,12173,815,43.81,-76.02,43.04,-76.14,STP
502008,14.3 mi,2021-10-01,16:00,12113,149,44.5,-74.97,44.59,-75.18,""
502009,9.0 mi,2021-10-01,09:00,14819,91,44.8,-74.98,44.68,-74.98,STLAW
502010,10.4 mi,2021-10-01,12:30,14904,91,44.8,-74.98,44.67,-74.96,STLAW
502011,15.4 mi,2021-10-01,14:30,15010,932,44.16,-75.85,44.34,-75.92,STP
502012,22.2 mi,2021-10-01,15:45,14373,192,44.84,-74.97,44.6,-75.15,""
502013,22.2 mi,2021-10-01,18:00,14373,192,44.6,-75.15,44.84,-74.97,""
502014,18.1 mi,2021-10-01,10:00,9204,166,43.58,-75.33,43.8,-75.5,TLS
502015,18.6 mi,2021-10-01,15:30,9646,489,43.85,-76.18,43.98,-75.92,HGS
502016,21.4 mi,2021-10-01,15:30,13234,489,43.79,-76.12,43.98,-75.92,HGS
502017,18.6 mi,2021-10-01,15:30,13236,489,43.85,-76.18,43.98,-75.92,HGS
502018,18.6 mi,2021-10-01,15:30,13235,489,43.85,-76.18,43.98,-75.92,HGS
502019,1.1 mi,2021-10-01,15:00,14948,157,44.94,-74.89,44.93,-74.88,""
502020,1.1 mi,2021-10-01,15:00,14947,157,44.94,-74.89,44.93,-74.88,""
502021,16.9 mi,2021-10-01,08:30,10253,66,44.02,-75.55,44.05,-75.8,SRVC
502022,22.3 mi,2021-10-01,18:30,5256,133,44.23,-76.08,43.96,-76.09,SRVC
502023,1.9 mi,2021-10-01,15:15,14956,157,44.95,-74.91,44.93,-74.88,""
502024,1.9 mi,2021-10-01,15:15,14898,157,44.95,-74.91,44.93,-74.88,""
502025,14.5 mi,2021-10-01,13:30,2476,127,43.86,-76.13,43.97,-75.91,STP
502026,28.5 mi,2021-10-01,09:30,14149,32,43.93,-75.39,43.96,-75.89,SRVC
502027,10.8 mi,2021-10-01,08:00,12852,222,44.5,-75.32,44.59,-75.18,""
502028,10.8 mi,2021-10-01,08:00,12851,222,44.5,-75.32,44.59,-75.18,""
502029,6.2 mi,2021-10-01,09:10,15438,475,44.61,-75.05,44.6,-75.14,FMLM
502030,11.8 mi,2021-10-01,08:35,6316,224,44.8,-75.0,44.86,-75.2,FMLM
502031,2.4 mi,2021-10-01,08:35,6581,224,44.85,-75.24,44.86,-75.2,FMLM
502032,152 mi,2021-10-01,17:15,12763,804,44.93,-74.88,43.32,-75.91,""
502033,19.1 mi,2021-10-01,17:00,15019,200,44.69,-75.5,44.59,-75.18,""
502034,26.6 mi,2021-10-01,15:05,14990,32,43.79,-75.49,43.98,-75.92,SRVC
502035,0.7 mi,2021-10-01,17:30,9400,59,43.89,-75.86,43.89,-75.85,SRVC
502036,1.0 mi,2021-10-01,05:45,9400,127,43.85,-76.01,43.87,-76.0,SRVC
502037,13.4 mi,2021-10-01,13:30,5180,49,44.69,-75.5,44.53,-75.59,FMLM
502038,14.8 mi,2021-10-01,06:30,2615,157,44.81,-74.77,44.68,-74.98,STLAW
502039,9.3 mi,2021-10-01,06:00,15586,729,43.88,-75.42,43.8,-75.5,LEWIS
502040,0.6 mi,2021-10-01,09:15,382,466,43.79,-75.49,43.8,-75.5,LEWIS
502041,2.1 mi,2021-10-01,15:00,5084,161,43.79,-75.47,43.8,-75.5,LEWIS
502042,5.9 mi,2021-10-01,10:45,6816,729,43.74,-75.54,43.8,-75.5,LEWIS
502043,6.8 mi,2021-10-01,10:30,13192,466,43.73,-75.41,43.8,-75.5,LEWIS
502044,19.7 mi,2021-10-01,11:45,381,161,43.88,-75.18,43.8,-75.5,LEWIS
502045,48.7 mi,2021-10-01,08:30,7284,820,44.3,-75.8,44.6,-75.17,""
502046,7.2 mi,2021-10-01,16:00,14733,804,44.87,-74.95,44.89,-74.9,""
502047,12.8 mi,2021-10-01,17:00,13920,246,44.55,-74.96,44.59,-75.18,""
502048,7.5 mi,2021-10-01,17:00,14676,613,44.5,-75.27,44.59,-75.18,""
502049,2.1 mi,2021-10-01,15:30,14095,200,44.59,-75.17,44.6,-75.15,""
502050,33.9 mi,2021-10-01,09:15,15560,878,43.1,-75.65,43.04,-76.14,""
502051,9.5 mi,2021-10-01,09:30,14210,53,44.05,-75.83,43.96,-75.89,SRVC
502052,9.5 mi,2021-10-01,09:30,14209,53,44.05,-75.83,43.96,-75.89,SRVC
502053,34.1 mi,2021-10-01,11:00,847,281,44.26,-75.54,43.97,-75.94,STLAW
502054,16.5 mi,2021-10-01,08:00,9627,192,44.52,-74.91,44.59,-75.18,""
502055,25.0 mi,2021-10-01,16:30,5251,192,44.79,-75.35,44.83,-74.98,FMLM
502056,18.7 mi,2021-10-01,12:00,2829,130,44.7,-75.47,44.6,-75.15,FMLM
502057,17.8 mi,2021-10-01,17:00,10254,489,44.02,-75.55,44.06,-75.81,SRVC
502058,10.9 mi,2021-10-01,08:45,6637,14,44.09,-75.81,43.97,-75.91,STP
502059,29.2 mi,2021-10-01,12:00,14454,159,44.15,-75.31,43.81,-75.49,LEWIS
502060,2.0 mi,2021-10-01,18:05,1867,196,44.67,-74.99,44.65,-74.97,FMLM
502061,19.4 mi,2021-10-01,09:00,15540,149,44.59,-75.18,44.69,-75.5,""
502062,29.9 mi,2021-10-01,08:30,9598,90,44.93,-74.88,44.6,-75.17,""
502063,12.5 mi,2021-10-01,11:15,513,149,44.69,-74.98,44.59,-75.18,STLAW
502064,1.1 mi,2021-10-01,15:15,9793,157,44.93,-74.89,44.94,-74.88,""
502065,1.1 mi,2021-10-01,13:15,9710,157,44.94,-74.88,44.93,-74.89,""
502066,24.9 mi,2021-10-01,17:30,9398,59,43.89,-75.86,44.15,-75.71,SRVC
502067,0.2 mi,2021-10-01,15:15,4174,826,44.34,-75.46,44.33,-75.47,""
502068,53.9 mi,2021-10-01,15:15,3189,91,44.93,-74.88,44.33,-75.47,""
502069,22.5 mi,2021-10-01,11:00,15704,978,43.08,-75.76,43.05,-76.06,""
502070,35.2 mi,2021-10-01,08:00,11536,232,44.93,-74.9,44.7,-75.49,FMLM
502071,33.4 mi,2021-10-01,16:50,11536,130,44.71,-75.46,44.93,-74.9,FMLM
502072,7.6 mi,2021-10-01,17:30,13731,127,43.89,-75.86,43.9,-75.95,SRVC
502073,29.2 mi,2021-10-01,07:00,9398,397,44.15,-75.71,43.86,-76.01,SRVC
502074,72.3 mi,2021-10-01,16:00,9690,127,43.98,-75.9,43.26,-76.53,SRVC
502075,17.0 mi,2021-10-01,08:00,5428,154,44.86,-75.2,44.92,-74.89,FMLM
502076,16.2 mi,2021-10-01,16:45,5428,129,44.94,-74.91,44.86,-75.2,FMLM
502077,85.2 mi,2021-10-01,08:30,13726,934,43.98,-75.61,43.04,-76.14,STP
502078,33.3 mi,2021-10-01,10:00,4691,198,44.33,-75.25,44.69,-75.5,STLAW
502079,30.4 mi,2021-10-01,14:00,12417,385,44.34,-75.45,44.69,-75.5,SOTP
502080,13.0 mi,2021-10-01,08:45,792,261,43.62,-75.37,43.77,-75.48,LEWIS
502081,12.6 mi,2021-10-01,08:00,15683,196,44.67,-75.05,44.8,-74.99,FMLM
502082,2.3 mi,2021-10-01,14:40,9497,487,43.97,-75.92,43.95,-75.91,PW
502083,1.8 mi,2021-10-01,14:30,14522,805,43.45,-76.5,43.46,-76.52,""
502084,38.3 mi,2021-10-01,13:30,15729,994,42.97,-76.54,43.46,-76.52,""
502085,11.4 mi,2021-10-01,14:00,15730,723,43.45,-76.49,43.32,-76.44,""
502086,7.8 mi,2021-10-01,11:15,14893,805,43.23,-76.29,43.31,-76.39,""
502087,10.3 mi,2021-10-01,17:00,12254,986,43.39,-76.05,43.51,-76.0,""
502088,5.9 mi,2021-10-01,09:30,12978,723,43.45,-76.41,43.47,-76.5,""
502089,28.4 mi,2021-10-01,14:15,14009,986,43.47,-76.03,43.31,-76.39,""
502090,43.0 mi,2021-10-01,17:00,12580,790,43.76,-76.08,43.33,-76.4,""
502091,43.0 mi,2021-10-01,17:00,12581,790,43.76,-76.08,43.33,-76.4,""
502092,43.0 mi,2021-10-01,17:00,12582,790,43.76,-76.08,43.33,-76.4,""
502093,43.5 mi,2021-10-01,18:30,12582,790,43.33,-76.4,43.76,-76.08,""
502094,43.5 mi,2021-10-01,18:30,12581,790,43.33,-76.4,43.76,-76.08,""
502095,43.5 mi,2021-10-01,18:30,12580,790,43.33,-76.4,43.76,-76.08,""
502096,15.9 mi,2021-10-01,05:00,15382,107,42.77,-71.24,42.82,-71.41,ONE
502097,5.9 mi,2021-10-01,09:30,13386,723,43.45,-76.41,43.47,-76.5,""
502098,15.5 mi,2021-10-01,05:25,15382,107,42.82,-71.41,42.77,-71.24,ONE
502099,5.9 mi,2021-10-01,09:30,12979,723,43.45,-76.41,43.47,-76.5,""
502100,14.4 mi,2021-10-01,15:15,12000,805,43.24,-76.23,43.32,-76.42,""
502101,20.4 mi,2021-10-01,07:30,12046,494,43.02,-71.76,42.98,-71.45,ONE
502102,14.4 mi,2021-10-01,15:15,12001,805,43.24,-76.23,43.32,-76.42,""
502103,21.5 mi,2021-10-01,08:45,12046,494,42.98,-71.45,43.02,-71.76,ONE
502104,20.0 mi,2021-10-01,08:00,14145,828,42.96,-72.47,42.85,-72.35,CTS
502105,10.4 mi,2021-10-01,12:30,14029,805,43.32,-76.58,43.31,-76.39,""
502106,20.0 mi,2021-10-01,08:30,14145,828,42.85,-72.35,42.96,-72.47,CTS
502107,14.2 mi,2021-10-01,15:00,15730,723,43.32,-76.44,43.41,-76.59,""
502108,29.7 mi,2021-10-01,09:30,14900,495,43.36,-72.35,43.66,-72.24,CTS
502109,27.8 mi,2021-10-01,15:15,14009,986,43.31,-76.39,43.47,-76.03,""
502110,18.0 mi,2021-10-01,11:45,5295,495,43.68,-71.97,43.64,-72.26,CTS
502111,5.9 mi,2021-10-01,11:30,12978,723,43.47,-76.5,43.45,-76.41,""
502112,18.0 mi,2021-10-01,14:00,5295,495,43.64,-72.26,43.68,-71.97,CTS
502113,5.9 mi,2021-10-01,11:30,13386,723,43.47,-76.5,43.45,-76.41,""
502114,30.6 mi,2021-10-01,13:50,14900,494,43.66,-72.24,43.36,-72.35,CTS
502115,5.9 mi,2021-10-01,11:30,12979,723,43.47,-76.5,43.45,-76.41,""
502116,1.9 mi,2021-10-01,13:15,9651,868,37.74,-120.94,37.73,-120.96,VOGO
502117,25.6 mi,2021-10-01,15:00,12935,186,44.8,-74.76,44.6,-75.15,""
502118,1.9 mi,2021-10-01,17:30,9651,611,37.73,-120.96,37.74,-120.94,VOGO
502119,33.8 mi,2021-10-01,12:15,15731,790,43.64,-76.09,43.31,-76.39,""
502120,30.0 mi,2021-10-01,09:45,13651,804,44.94,-74.89,44.6,-75.17,""
502121,40.4 mi,2021-10-01,18:00,12088,157,44.92,-74.91,44.47,-75.23,""
502122,40.4 mi,2021-10-01,18:00,12087,157,44.92,-74.91,44.47,-75.23,""
502123,40.4 mi,2021-10-01,18:00,12933,157,44.92,-74.91,44.47,-75.23,""
502124,40.4 mi,2021-10-01,18:00,14721,157,44.92,-74.91,44.47,-75.23,""
502125,34.6 mi,2021-10-01,AM,1378,826,44.16,-74.98,44.34,-75.45,SOTP
502126,14.3 mi,2021-10-01,13:00,2521,18,44.02,-75.78,43.99,-75.59,STP
502127,18.0 mi,2021-10-01,14:00,14774,630,43.99,-75.62,43.97,-75.91,OTP
502128,65.9 mi,2021-10-01,10:00,14803,883,43.9,-75.68,43.09,-75.24,LEWIS
502129,5.6 mi,2021-10-01,09:30,4919,18,44.02,-75.84,43.98,-75.91,STP
502130,3.9 mi,2021-10-01,10:30,4919,18,43.99,-75.9,44.02,-75.85,STP
502131,0.4 mi,2021-10-01,13:00,519,222,44.34,-75.46,44.34,-75.47,STLAW
502132,41.9 mi,2021-10-01,09:30,8191,13,43.61,-75.35,43.1,-75.27,LOTP
502133,29.3 mi,2021-10-01,11:00,14568,887,43.07,-76.11,43.32,-76.44,""
502134,28.2 mi,2021-10-01,13:00,14568,23,43.32,-76.42,43.07,-76.11,""
502135,34.0 mi,2021-10-01,09:00,13921,157,44.52,-74.91,44.7,-75.49,""
502136,22.5 mi,2021-10-01,AM/PM,728,200,44.42,-75.13,44.66,-75.03,SOTP
502137,2.8 mi,2021-10-01,08:30,6498,825,43.96,-75.91,43.98,-75.95,PW
502138,19.1 mi,2021-10-01,08:30,12221,164,43.98,-75.55,43.97,-75.91,STP
502139,3.5 mi,2021-10-01,PM,548,91,44.69,-74.98,44.66,-75.03,STLAW
502140,4.7 mi,2021-10-01,10:00,10574,927,44.0,-75.9,44.04,-75.84,OTP
502141,20.2 mi,2021-10-01,05:30,5713,385,44.46,-75.23,44.67,-74.99,FMLM
502142,19.8 mi,2021-10-01,15:10,5713,232,44.66,-75.03,44.46,-75.23,FMLM
502143,8.5 mi,2021-10-01,12:00,4002,164,43.89,-75.51,43.79,-75.49,TLS
502144,0.5 mi,2021-10-01,10:00,2220,362,43.98,-75.62,43.97,-75.62,STP
502145,123 mi,2021-10-01,11:15,2220,362,43.31,-74.21,43.98,-75.62,STP
502146,7.6 mi,2021-10-01,13:30,2040,580,44.3,-75.8,44.34,-75.92,STP
502147,25.4 mi,2021-10-01,10:00,217,580,44.2,-75.62,43.95,-75.91,STP
502148,16.6 mi,2021-10-01,14:30,12466,362,43.97,-75.62,43.95,-75.91,STP
502149,17.4 mi,2021-10-01,11:40,7605,407,44.01,-75.65,43.95,-75.91,STP
502150,10.7 mi,2021-10-01,09:45,486,71,44.02,-75.76,43.95,-75.91,STP
502151,10.8 mi,2021-10-01,13:00,486,71,43.95,-75.91,44.02,-75.76,STP
502152,5.2 mi,2021-10-01,06:20,959,120,44.01,-75.88,43.95,-75.91,STP
502153,25.3 mi,2021-10-01,11:05,476,59,43.78,-76.22,43.95,-75.91,STP
502154,17.1 mi,2021-10-01,06:20,12716,267,44.13,-75.74,43.95,-75.91,STP
502155,3.1 mi,2021-10-01,06:05,484,14,43.98,-75.91,43.95,-75.91,STP
502156,24.6 mi,2021-10-01,11:00,10661,133,44.24,-76.08,43.95,-75.91,STP
502157,12.8 mi,2021-10-01,06:20,479,71,44.09,-75.81,43.95,-75.91,STP
502158,12.5 mi,2021-10-01,11:15,479,71,43.95,-75.91,44.09,-75.81,STP
502159,59.0 mi,2021-10-01,13:45,12594,34,43.25,-76.31,43.95,-75.91,OTP
502160,16.5 mi,2021-10-01,16:30,13305,362,43.97,-75.62,43.95,-75.91,STP
502161,1.6 mi,2021-10-01,06:00,14330,71,43.96,-75.91,43.95,-75.91,STP
502162,13.8 mi,2021-10-01,10:45,11488,31,43.97,-75.63,43.8,-75.5,STP
502163,1.4 mi,2021-10-01,07:30,7653,31,43.98,-75.61,43.99,-75.59,STP
502164,12.8 mi,2021-10-01,09:00,15490,31,44.02,-75.72,43.98,-75.92,OTP
502165,24.1 mi,2021-10-01,11:30,10833,926,44.24,-76.08,43.95,-75.91,FMCD
502166,7.7 mi,2021-10-01,06:45,3915,345,44.01,-76.05,43.98,-75.92,MCD
502167,14.6 mi,2021-10-01,08:00,13482,345,44.16,-75.81,43.98,-75.92,MCD
502168,14.6 mi,2021-10-01,08:00,13481,345,44.16,-75.81,43.98,-75.92,MCD
502169,2.7 mi,2021-10-01,10:30,11436,815,43.95,-75.92,43.98,-75.92,MCD
502170,16.2 mi,2021-10-01,08:00,9337,31,43.98,-75.62,43.98,-75.92,MCD
502171,15.0 mi,2021-10-01,12:00,4650,31,44.02,-75.66,43.98,-75.92,FMCD
502172,2.7 mi,2021-10-01,09:15,14621,927,43.95,-75.92,43.98,-75.92,MCD
502173,35.3 mi,2021-10-01,11:15,2246,388,44.28,-75.85,44.69,-75.5,MCD
502174,16.5 mi,2021-10-01,11:00,6293,127,43.81,-76.04,43.98,-75.92,MCD
502175,39.2 mi,2021-10-01,10:00,7696,65,43.74,-75.34,43.98,-75.92,LMCD
502176,30.8 mi,2021-10-01,08:00,4998,65,43.89,-75.39,43.98,-75.92,LMCD
502177,11.0 mi,2021-10-01,09:15,9446,66,44.03,-75.73,43.98,-75.92,MCD
502178,51.5 mi,2021-10-01,09:45,9237,203,44.45,-75.24,43.98,-75.92,STLMCD
502179,30.8 mi,2021-10-01,07:45,4165,65,43.89,-75.39,43.98,-75.92,LMCD
502180,0.6 mi,2021-10-01,11:15,13384,108,44.69,-75.5,44.69,-75.5,STLMCD
502181,4.5 mi,2021-10-01,07:00,1832,71,44.04,-75.9,43.98,-75.92,MCD
502182,41.6 mi,2021-10-01,11:30,15030,974,42.56,-78.93,43.02,-78.74,EMCD
502183,9.8 mi,2021-10-01,14:45,385,13,43.72,-75.37,43.8,-75.5,LMCD
502184,5.0 mi,2021-10-01,10:30,7664,161,43.75,-75.43,43.8,-75.5,LMCD
502185,16.5 mi,2021-10-01,09:30,7104,127,43.81,-76.04,43.98,-75.92,MCD
502186,22.7 mi,2021-10-01,09:00,10171,135,44.24,-76.08,43.96,-75.91,MCD
502187,8.3 mi,2021-10-01,10:45,13497,163,43.92,-75.81,43.98,-75.92,MCD
502188,84.6 mi,2021-10-01,08:00,186,25,44.03,-75.72,43.06,-76.1,MCD
502189,58.5 mi,2021-10-01,06:15,7686,16,43.98,-75.86,43.45,-76.51,MCD
502190,30.6 mi,2021-10-01,12:30,15150,190,44.95,-74.79,44.86,-74.29,STLMCD
502191,16.4 mi,2021-10-01,11:00,5961,66,43.81,-76.03,43.98,-75.92,FMCD
502192,11.6 mi,2021-10-01,10:30,15136,671,44.12,-75.97,43.98,-75.92,MCD
502193,32.6 mi,2021-10-01,09:30,630,729,43.44,-75.58,43.79,-75.5,LMCD
502194,20.8 mi,2021-10-01,15:15,4338,96,44.15,-75.32,43.97,-75.61,LMCD
502195,69.0 mi,2021-10-01,07:15,9448,350,43.98,-75.91,43.09,-76.19,MCD70
502196,8.0 mi,2021-10-01,13:00,10377,804,44.6,-75.07,44.68,-74.98,STLMCD
502197,16.0 mi,2021-10-01,08:00,7878,31,43.98,-75.62,43.98,-75.92,MCD
502198,49.9 mi,2021-10-01,10:15,753,49,44.61,-75.59,43.98,-75.92,STLMCD
502199,17.5 mi,2021-10-01,07:15,10494,768,42.61,-78.81,42.8,-78.8,EMCD
502200,24.5 mi,2021-10-01,06:30,7988,977,43.89,-75.51,43.98,-75.92,LMCD
502201,34.8 mi,2021-10-01,06:45,94,7,43.75,-75.37,43.98,-75.92,LMCD
502202,1.2 mi,2021-10-01,09:45,13390,590,43.97,-75.9,43.98,-75.92,MCD
502203,33.6 mi,2021-10-01,13:15,15731,790,43.31,-76.39,43.64,-76.09,""
502204,122 mi,2021-10-01,10:15,2045,187,44.7,-75.48,43.12,-76.14,STLMCD
502205,35.3 mi,2021-10-01,07:45,97,161,43.71,-75.4,43.98,-75.92,LMCD
502206,25.5 mi,2021-10-01,06:30,129,119,44.24,-75.61,43.98,-75.92,MCD
502207,29.1 mi,2021-10-01,10:00,4432,489,43.99,-75.9,44.34,-75.92,MCD
502208,20.0 mi,2021-10-01,09:45,3204,816,44.22,-75.8,44.34,-75.46,MCD
502209,15.0 mi,2021-10-01,10:00,7286,397,44.14,-75.73,43.98,-75.92,MCD
502210,28.8 mi,2021-10-01,09:00,15451,133,44.33,-75.92,43.98,-75.92,FMCD
502211,33.1 mi,2021-10-01,11:00,14998,262,43.79,-75.39,43.98,-75.92,LMCD
502212,9.0 mi,2021-10-01,09:00,5766,299,44.25,-75.89,44.34,-75.92,MCD
502213,211 mi,2021-10-01,09:00,5912,180,44.69,-75.49,43.12,-77.63,STLMCD
502214,20.3 mi,2021-10-01,10:30,12641,487,44.25,-75.89,43.98,-75.92,FMCD
502215,61.0 mi,2021-10-01,13:00,12052,613,44.59,-75.18,43.95,-75.92,STLMCD
502216,18.9 mi,2021-10-01,14:00,3304,224,44.9,-75.06,44.68,-74.98,STLMCD
502217,88.5 mi,2021-10-01,05:30,99,75,43.98,-75.61,43.06,-76.1,FMCD
502218,8.5 mi,2021-10-01,10:30,50,157,44.83,-74.98,44.92,-74.89,STLMCD
502219,30.6 mi,2021-10-01,15:00,12209,293,43.01,-78.23,42.96,-78.74,GMCD
502220,5.5 mi,2021-10-01,09:00,5560,192,44.62,-74.98,44.67,-74.97,STLMCD
502221,29.4 mi,2021-10-01,14:00,2784,130,44.69,-75.49,44.68,-74.98,STLMCD
502222,85.2 mi,2021-10-01,08:15,101,671,44.18,-76.09,43.09,-76.19,MCD
502223,12.7 mi,2021-10-01,08:30,13094,776,43.81,-76.02,43.95,-75.91,MCD
502224,19.6 mi,2021-10-01,14:30,324,154,44.93,-74.93,44.68,-74.98,STLMCD
502225,22.8 mi,2021-10-01,14:00,11925,53,44.12,-76.21,43.95,-75.91,MCD
502226,23.4 mi,2021-10-01,14:15,6123,590,44.23,-76.08,43.95,-75.91,MCD
502227,29.4 mi,2021-10-01,10:00,11397,359,42.98,-77.99,43.13,-77.6,GMCD
502228,127 mi,2021-10-01,10:00,15732,15,43.31,-74.21,43.06,-76.15,MCD
502229,34.6 mi,2021-10-01,09:00,9226,554,44.7,-75.49,44.94,-74.91,STLMCD
502230,45.4 mi,2021-10-01,11:00,13624,250,44.15,-75.03,44.67,-74.97,STLMCD
502231,34.2 mi,2021-10-01,08:45,12797,177,44.93,-74.88,44.71,-75.46,STLMCD
502232,28.7 mi,2021-10-01,11:00,2260,309,44.18,-75.07,44.33,-75.47,STLMCD
502233,27.9 mi,2021-10-01,13:00,894,54,44.31,-75.45,44.6,-75.15,STLMCD
502234,1.3 mi,2021-10-01,09:15,15046,825,43.97,-75.91,43.98,-75.92,MCD
502235,28.3 mi,2021-10-01,08:00,3126,344,44.32,-75.96,43.98,-75.92,MCD
502236,21.6 mi,2021-10-01,10:00,12445,613,44.59,-75.32,44.67,-74.97,STLMCD
502237,12.7 mi,2021-10-01,13:00,15733,196,44.52,-74.95,44.68,-74.98,STLMCD
502238,29.2 mi,2021-10-01,11:00,1952,344,44.34,-75.91,43.99,-75.84,MCD
502239,45.7 mi,2021-10-01,10:45,15661,261,43.87,-75.18,43.98,-75.92,LMCD
502240,83.0 mi,2021-10-01,13:00,5253,177,44.94,-74.9,44.71,-73.45,STLMCD
502241,70.4 mi,2021-10-01,08:00,9339,120,43.97,-75.9,43.09,-76.06,MCD
502242,18.9 mi,2021-10-01,09:00,5410,191,44.7,-75.49,44.59,-75.18,STLMCD
502243,25.6 mi,2021-10-01,10:00,3055,119,44.2,-75.61,43.95,-75.91,MCD
502244,24.1 mi,2021-10-01,13:00,5490,475,44.59,-75.18,44.34,-75.47,STLMCD
502245,9.3 mi,2021-10-01,10:00,6682,345,44.01,-76.02,43.95,-75.91,MCD
502246,10.9 mi,2021-10-01,11:00,12820,154,44.83,-74.98,44.68,-74.98,STLMCD
502247,53.9 mi,2021-10-01,09:45,577,196,44.85,-74.15,44.61,-75.13,STLMCD
502248,71.7 mi,2021-10-01,10:00,5917,870,43.98,-75.91,43.05,-76.14,MCD
502249,90.6 mi,2021-10-01,15:00,167,16,44.22,-75.8,43.04,-76.15,MCD
502250,34.1 mi,2021-10-01,08:30,14769,134,43.48,-75.29,43.1,-75.3,""
502251,21.9 mi,2021-10-01,13:00,14369,397,44.22,-75.8,43.95,-75.91,MCD
502252,16.8 mi,2021-10-01,14:30,15481,120,43.97,-75.9,43.99,-75.59,MCD
502253,124 mi,2021-10-01,14:30,13221,492,44.7,-75.5,43.12,-76.18,STLMCD
502254,224 mi,2021-10-01,14:45,5155,77,43.68,-75.45,42.12,-72.59,LMCD
502255,24.9 mi,2021-10-01,08:30,15693,927,44.07,-75.5,43.95,-75.91,MCD
502256,36.3 mi,2021-10-01,11:15,15734,232,44.68,-74.99,44.34,-75.47,STLMCD
502257,6.0 mi,2021-10-01,08:00,7510,407,44.03,-75.68,43.98,-75.61,MCD
502258,13.6 mi,2021-10-01,12:00,7510,302,43.98,-75.92,44.03,-75.68,MCD
502259,10.2 mi,2021-10-01,12:30,783,192,44.83,-74.98,44.94,-74.91,STLMCD
502260,37.7 mi,2021-10-01,10:30,5582,129,44.84,-74.98,44.85,-74.29,STLMCD
502261,10.6 mi,2021-10-01,11:00,740,475,44.67,-74.8,44.66,-74.98,STLMCD
502262,20.5 mi,2021-10-01,08:45,14467,492,44.71,-75.46,44.61,-75.13,STLMCD
502263,55.1 mi,2021-10-01,08:00,8102,96,43.73,-75.47,43.08,-75.34,LMCD
502264,19.6 mi,2021-10-01,11:00,1782,224,44.86,-75.2,44.67,-74.97,STLMCD
502265,244 mi,2021-10-01,12:15,7746,200,42.79,-78.12,44.59,-75.17,STLMCD
502266,31.1 mi,2021-10-01,13:45,2303,487,44.34,-75.91,43.96,-75.91,MCD
502267,12.6 mi,2021-10-01,11:30,4184,186,44.94,-74.88,44.97,-74.65,STLMCD
502268,13.9 mi,2021-10-01,13:00,4184,186,44.97,-74.63,44.94,-74.88,STLMCD
502269,9.9 mi,2021-10-01,14:00,125,312,44.01,-76.04,43.95,-75.91,MCD
502270,1.6 mi,2021-10-01,12:00,14568,887,43.32,-76.44,43.32,-76.42,""
502271,9.1 mi,2021-10-01,PM,1159,198,44.6,-75.17,44.66,-75.03,STLAW
502272,0.7 mi,2021-10-01,09:00,2684,466,43.78,-75.48,43.79,-75.49,FIDLS
502273,23.5 mi,2021-10-01,16:00,12935,186,44.6,-75.15,44.79,-74.79,""
502274,9.4 mi,2021-10-01,10:30,15586,729,43.8,-75.5,43.88,-75.42,LEWIS
502275,35.5 mi,2021-10-01,08:15,97,161,43.98,-75.92,43.71,-75.4,LMCD
502276,34.9 mi,2021-10-01,07:15,94,7,43.98,-75.92,43.75,-75.37,LMCD
502277,0.6 mi,2021-10-01,13:00,382,466,43.8,-75.5,43.79,-75.49,LEWIS
502278,31.0 mi,2021-10-01,08:15,4165,65,43.98,-75.92,43.89,-75.39,LMCD
502279,31.0 mi,2021-10-01,08:30,4998,65,43.98,-75.92,43.89,-75.39,LMCD
502280,19.7 mi,2021-10-01,16:15,381,161,43.8,-75.5,43.88,-75.18,LEWIS
502281,5.0 mi,2021-10-01,14:30,7664,161,43.8,-75.5,43.75,-75.43,LMCD
502282,2.1 mi,2021-10-01,19:00,5084,161,43.8,-75.5,43.79,-75.47,LEWIS
502283,24.1 mi,2021-10-01,07:00,7988,977,43.98,-75.92,43.89,-75.51,LMCD
502284,55.1 mi,2021-10-01,09:00,8102,96,43.08,-75.34,43.73,-75.47,LMCD
502285,221 mi,2021-10-01,16:15,5155,77,42.12,-72.59,43.68,-75.45,LMCD
502286,42.2 mi,2021-10-01,10:30,8191,13,43.1,-75.27,43.61,-75.35,LOTP
502287,34.3 mi,2021-10-01,09:30,14769,134,43.1,-75.3,43.48,-75.29,""
502288,66.4 mi,2021-10-01,11:00,14803,883,43.09,-75.24,43.9,-75.68,LEWIS
502289,45.9 mi,2021-10-01,11:15,15661,261,43.98,-75.92,43.87,-75.18,LMCD
502290,29.2 mi,2021-10-01,13:00,14454,159,43.81,-75.49,44.15,-75.31,LEWIS
502291,9.9 mi,2021-10-01,18:45,385,13,43.8,-75.5,43.72,-75.37,LMCD
502292,6.8 mi,2021-10-01,14:45,13192,13,43.8,-75.5,43.73,-75.41,LEWIS
502293,5.9 mi,2021-10-01,15:00,6816,729,43.8,-75.5,43.74,-75.54,LEWIS
502294,20.8 mi,2021-10-01,16:15,4338,96,43.97,-75.61,44.15,-75.32,LMCD
502295,2.1 mi,2021-10-01,08:00,2047,91,44.67,-75.0,44.69,-74.98,FMLM
